,Date,Time,Signal(dBm),Noise(dBm),Channel,Mode,SSID,BSSID,Frequency (GHz)
4066,5/10/2023 12:34:53,1696509293,-49,-94,11, g/n,uniwide ,08-CC-68-B5-9A-45,
4232,5/10/2023 12:34:53,1696509293,-76,-93,6, g/n,uniwide ,74-88-BB-2B-01-21,
4316,5/10/2023 12:34:53,1696509293,-82,-93,11, g/n,[Hidden SSID] ,24-16-9D-23-F0-C5,
4462,5/10/2023 12:34:53,1696509293,-55,-96,52, ac,[Hidden SSID] ,08-CC-68-B4-77-AB,
4709,5/10/2023 12:34:53,1696509293,-84,-96,132, ac,[Hidden SSID] ,B8-11-4B-82-62-AD,
4830,5/10/2023 12:34:53,1696509293,-82,-94,112, ac,[Hidden SSID] ,08-CC-68-B4-86-5B,
5052,5/10/2023 12:34:53,1696509293,-91,-93,11, g/n,[Hidden SSID] ,08-CC-68-B4-BE-30,
5102,5/10/2023 12:34:53,1696509293,-89,-93,6, g/n,[Hidden SSID] ,08-CC-68-B4-7E-E4,
5267,5/10/2023 12:34:53,1696509293,-89,-95,132, ac,[Hidden SSID] ,08-CC-68-B4-84-9F,
5469,5/10/2023 12:34:53,1696509293,-56,-94,132, ac,eduroam ,08-CC-68-B5-9A-4E,
5672,5/10/2023 12:34:53,1696509293,-81,-94,132, ac,UNSW Guest ,B8-11-4B-82-62-AC,
5832,5/10/2023 12:34:53,1696509293,-74,-94,100, ac,[Hidden SSID] ,08-CC-68-B4-8C-FB,
6114,5/10/2023 12:34:53,1696509293,-61,-94,11, g/n,eduroam ,08-CC-68-B4-84-91,
6328,5/10/2023 12:34:53,1696509293,-55,-95,52, ac,eduroam ,08-CC-68-B4-77-AE,
6532,5/10/2023 12:34:53,1696509293,-70,-93,1, g/n,[Hidden SSID] ,08-CC-68-B5-88-A0,
6614,5/10/2023 12:34:53,1696509293,-82,-93,11, g/n,[Hidden SSID] ,24-16-9D-23-F0-C2,
6725,5/10/2023 12:34:53,1696509293,-87,-89,1, g/n,UNSW Guest ,24-16-9D-23-FD-23,
6900,5/10/2023 12:34:53,1696509293,-87,-94,6, g/n,[Hidden SSID] ,08-CC-68-B5-8D-F4,
7046,5/10/2023 12:34:53,1696509293,-77,-93,1, g/n,uniwide ,08-CC-68-B4-8C-F5,
7975,5/10/2023 12:34:53,1696509293,-61,-95,11, g/n,[Hidden SSID] ,08-CC-68-B4-84-90,
8341,5/10/2023 12:34:53,1696509293,-73,-94,1, g/n,eduroam ,08-CC-68-B5-88-A1,
8433,5/10/2023 12:34:53,1696509293,-77,-93,1, g/n,[Hidden SSID] ,08-CC-68-B4-86-54,
8763,5/10/2023 12:34:53,1696509293,-86,-93,1, g/n,[Hidden SSID] ,24-16-9D-23-FD-22,
8866,5/10/2023 12:34:53,1696509293,-82,-93,11, g/n,UNSW Guest ,24-16-9D-23-F0-C3,
8949,5/10/2023 12:34:53,1696509293,-83,-93,157, ac,eduroam ,08-CC-68-B4-84-1E,
9168,5/10/2023 12:34:53,1696509293,-92,-96,112, ac,[Hidden SSID] ,08-CC-68-B5-88-AF,
9205,5/10/2023 12:34:53,1696509293,-91,-91,6, g/n,uniwide ,08-CC-68-B4-7E-E5,
9477,5/10/2023 12:34:53,1696509293,-66,-91,6, g/n,[Hidden SSID] ,B8-11-4B-82-62-A5,
9654,5/10/2023 12:34:53,1696509293,-86,-96,157, ac,[Hidden SSID] ,08-CC-68-B4-84-1F,
10222,5/10/2023 12:34:53,1696509293,-84,-89,6, g/n,[Hidden SSID] ,08-CC-68-B4-7D-64,
10417,5/10/2023 12:34:53,1696509293,-91,-95,112, ac,eduroam ,08-CC-68-B5-88-AE,
10580,5/10/2023 12:34:53,1696509293,-49,-91,11, g/n,[Hidden SSID] ,08-CC-68-B5-9A-40,
11360,5/10/2023 12:34:53,1696509293,-82,-93,11, g/n,Global_Students ,24-16-9D-23-F0-C4,
11477,5/10/2023 12:34:53,1696509293,-82,-93,11, g/n,eduroam ,24-16-9D-23-F0-C0,
11575,5/10/2023 12:34:53,1696509293,-84,-96,132, ac,[Hidden SSID] ,B8-11-4B-82-62-AA,
11698,5/10/2023 12:34:53,1696509293,-82,-93,11, g/n,uniwide ,24-16-9D-23-F0-C1,
11778,5/10/2023 12:34:53,1696509293,-76,-91,6, g/n,[Hidden SSID] ,74-88-BB-2B-01-25,
11918,5/10/2023 12:34:53,1696509293,-55,-94,52, ac,[Hidden SSID] ,08-CC-68-B4-77-AF,
12383,5/10/2023 12:34:53,1696509293,-49,-94,11, g/n,eduroam ,08-CC-68-B5-9A-41,
12843,5/10/2023 12:34:53,1696509293,-89,-94,132, ac,eduroam ,08-CC-68-B4-84-9E,
12918,5/10/2023 12:34:53,1696509293,-84,-89,6, g/n,uniwide ,08-CC-68-B4-7D-65,
13278,5/10/2023 12:34:53,1696509293,-82,-94,112, ac,uniwide ,08-CC-68-B4-86-5A,
13355,5/10/2023 12:34:53,1696509293,-87,-89,6, g/n,[Hidden SSID] ,4C-E1-76-F3-53-65,
13686,5/10/2023 12:34:53,1696509293,-78,-94,100, ac,uniwide ,08-CC-68-B4-8C-FA,
13737,5/10/2023 12:34:53,1696509293,-87,-93,1, g/n,eduroam ,24-16-9D-23-FD-20,
13939,5/10/2023 12:34:53,1696509293,-88,-94,1, g/n,Global_Students ,24-16-9D-23-FD-24,
14012,5/10/2023 12:34:53,1696509293,-58,-94,132, ac,[Hidden SSID] ,08-CC-68-B5-9A-4F,
14243,5/10/2023 12:34:53,1696509293,-86,-94,6, g/n,[Hidden SSID] ,08-CC-68-B5-8D-F0,
14353,5/10/2023 12:34:53,1696509293,-77,-93,1, g/n,eduroam ,08-CC-68-B4-8C-F1,
14592,5/10/2023 12:34:53,1696509293,-79,-92,1, g/n,eduroam ,08-CC-68-B4-86-51,
14660,5/10/2023 12:34:53,1696509293,-70,-93,1, g/n,[Hidden SSID] ,08-CC-68-B5-88-A4,
14774,5/10/2023 12:34:53,1696509293,-55,-95,52, ac,uniwide ,08-CC-68-B4-77-AA,
15068,5/10/2023 12:34:53,1696509293,-76,-94,6, g/n,[Hidden SSID] ,74-88-BB-2B-01-22,
15188,5/10/2023 12:34:53,1696509293,-61,-94,11, g/n,uniwide ,08-CC-68-B4-84-95,
15344,5/10/2023 12:34:53,1696509293,-76,-94,100, ac,[Hidden SSID] ,08-CC-68-B4-8C-FF,
15673,5/10/2023 12:34:53,1696509293,-56,-94,132, ac,uniwide ,08-CC-68-B5-9A-4A,
15899,5/10/2023 12:34:53,1696509293,-68,-94,6, g/n,eduroam ,B8-11-4B-82-62-A0,
16021,5/10/2023 12:34:53,1696509293,-87,-94,132, ac,[Hidden SSID] ,08-CC-68-B4-84-9B,
16177,5/10/2023 12:34:53,1696509293,-66,-91,6, g/n,Global_Students ,B8-11-4B-82-62-A4,
16233,5/10/2023 12:34:53,1696509293,-91,-90,6, g/n,[Hidden SSID] ,08-CC-68-B4-7E-E0,
16399,5/10/2023 12:34:53,1696509293,-81,-94,112, ac,[Hidden SSID] ,08-CC-68-B4-86-5F,
16866,5/10/2023 12:34:53,1696509293,-67,-94,6, g/n,uniwide ,B8-11-4B-82-62-A1,
16889,5/10/2023 12:34:53,1696509293,-94,-94,112, ac,[Hidden SSID] ,08-CC-68-B5-88-AB,
17087,5/10/2023 12:34:53,1696509293,-83,-95,157, ac,uniwide ,08-CC-68-B4-84-1A,
17435,5/10/2023 12:34:53,1696509293,-76,-91,6, g/n,UNSW Guest ,74-88-BB-2B-01-23,
17632,5/10/2023 12:34:53,1696509293,-73,-94,1, g/n,uniwide ,08-CC-68-B5-88-A5,
17704,5/10/2023 12:34:53,1696509293,-79,-91,1, g/n,[Hidden SSID] ,08-CC-68-B4-86-50,
17923,5/10/2023 12:34:53,1696509293,-81,-94,132, ac,Global_Students ,B8-11-4B-82-62-AB,
18043,5/10/2023 12:34:53,1696509293,-61,-90,11, g/n,[Hidden SSID] ,08-CC-68-B4-84-94,
18144,5/10/2023 12:34:53,1696509293,-81,-94,132, ac,eduroam ,B8-11-4B-82-62-AF,
18402,5/10/2023 12:34:53,1696509293,-86,-90,6, g/n,UNSW Guest ,4C-E1-76-F3-53-63,
18676,5/10/2023 12:34:53,1696509293,-78,-92,1, g/n,[Hidden SSID] ,08-CC-68-B4-8C-F0,
505,5/10/2023 12:35:03,1696509303,-80,-94,132, ac,uniwide ,B8-11-4B-82-62-AE,
626,5/10/2023 12:35:03,1696509303,-76,-94,6, g/n,eduroam ,74-88-BB-2B-01-20,
1099,5/10/2023 12:35:03,1696509303,-49,-92,11, g/n,[Hidden SSID] ,08-CC-68-B5-9A-44,
1225,5/10/2023 12:35:03,1696509303,-91,-94,112, ac,uniwide ,08-CC-68-B5-88-AA,
1588,5/10/2023 12:35:03,1696509303,-85,-95,6, g/n,Global_Students ,4C-E1-76-F3-53-64,
1674,5/10/2023 12:35:03,1696509303,-87,-95,6, g/n,[Hidden SSID] ,08-CC-68-B4-7D-60,
2138,5/10/2023 12:35:03,1696509303,-87,-95,1, g/n,[Hidden SSID] ,24-16-9D-23-FD-25,
2278,5/10/2023 12:35:03,1696509303,-86,-95,157, ac,[Hidden SSID] ,08-CC-68-B4-84-1B,
2462,5/10/2023 12:35:03,1696509303,-59,-94,132, ac,[Hidden SSID] ,08-CC-68-B5-9A-4B,
2744,5/10/2023 12:35:03,1696509303,-74,-94,100, ac,eduroam ,08-CC-68-B4-8C-FE,
2983,5/10/2023 12:35:03,1696509303,-80,-94,112, ac,eduroam ,08-CC-68-B4-86-5E,
3301,5/10/2023 12:35:03,1696509303,-84,-93,6, g/n,eduroam ,08-CC-68-B4-7D-61,
3622,5/10/2023 12:35:03,1696509303,-90,-94,132, ac,uniwide ,08-CC-68-B4-84-9A,
4065,5/10/2023 12:35:03,1696509303,-47,-95,11, g/n,uniwide ,08-CC-68-B5-9A-45,
4231,5/10/2023 12:35:03,1696509303,-76,-93,6, g/n,uniwide ,74-88-BB-2B-01-21,
4461,5/10/2023 12:35:03,1696509303,-55,-94,52, ac,[Hidden SSID] ,08-CC-68-B4-77-AB,
4708,5/10/2023 12:35:03,1696509303,-82,-95,132, ac,[Hidden SSID] ,B8-11-4B-82-62-AD,
4829,5/10/2023 12:35:03,1696509303,-80,-94,112, ac,[Hidden SSID] ,08-CC-68-B4-86-5B,
5051,5/10/2023 12:35:03,1696509303,-91,-93,11, g/n,[Hidden SSID] ,08-CC-68-B4-BE-30,
5101,5/10/2023 12:35:03,1696509303,-89,-93,6, g/n,[Hidden SSID] ,08-CC-68-B4-7E-E4,
5266,5/10/2023 12:35:03,1696509303,-90,-94,132, ac,[Hidden SSID] ,08-CC-68-B4-84-9F,
5364,5/10/2023 12:35:03,1696509303,-89,-92,5, ax,MEREAVIE_POWER ,7C-10-C9-02-F2-D0,
5468,5/10/2023 12:35:03,1696509303,-55,-94,132, ac,eduroam ,08-CC-68-B5-9A-4E,
5671,5/10/2023 12:35:03,1696509303,-80,-94,132, ac,UNSW Guest ,B8-11-4B-82-62-AC,
5831,5/10/2023 12:35:03,1696509303,-74,-94,100, ac,[Hidden SSID] ,08-CC-68-B4-8C-FB,
6113,5/10/2023 12:35:03,1696509303,-61,-94,11, g/n,eduroam ,08-CC-68-B4-84-91,
6327,5/10/2023 12:35:03,1696509303,-58,-94,52, ac,eduroam ,08-CC-68-B4-77-AE,
6613,5/10/2023 12:35:03,1696509303,-82,-93,11, g/n,[Hidden SSID] ,24-16-9D-23-F0-C2,
6687,5/10/2023 12:35:03,1696509303,-80,-95,1, g/n,uniwide ,08-CC-68-B4-86-55,
7045,5/10/2023 12:35:03,1696509303,-77,-95,1, g/n,uniwide ,08-CC-68-B4-8C-F5,
7455,5/10/2023 12:35:03,1696509303,-77,-95,1, g/n,[Hidden SSID] ,08-CC-68-B4-8C-F4,
7974,5/10/2023 12:35:03,1696509303,-62,-95,11, g/n,[Hidden SSID] ,08-CC-68-B4-84-90,
8340,5/10/2023 12:35:03,1696509303,-73,-94,1, g/n,eduroam ,08-CC-68-B5-88-A1,
8432,5/10/2023 12:35:03,1696509303,-77,-93,1, g/n,[Hidden SSID] ,08-CC-68-B4-86-54,
8762,5/10/2023 12:35:03,1696509303,-88,-95,1, g/n,[Hidden SSID] ,24-16-9D-23-FD-22,
8865,5/10/2023 12:35:03,1696509303,-82,-93,11, g/n,UNSW Guest ,24-16-9D-23-F0-C3,
9167,5/10/2023 12:35:03,1696509303,-94,-94,112, ac,[Hidden SSID] ,08-CC-68-B5-88-AF,
9688,5/10/2023 12:35:03,1696509303,-88,-95,1, g/n,uniwide ,24-16-9D-23-FD-21,
10579,5/10/2023 12:35:03,1696509303,-48,-92,11, g/n,[Hidden SSID] ,08-CC-68-B5-9A-40,
11359,5/10/2023 12:35:03,1696509303,-82,-93,11, g/n,Global_Students ,24-16-9D-23-F0-C4,
11476,5/10/2023 12:35:03,1696509303,-82,-93,11, g/n,eduroam ,24-16-9D-23-F0-C0,
11697,5/10/2023 12:35:03,1696509303,-82,-93,11, g/n,uniwide ,24-16-9D-23-F0-C1,
11917,5/10/2023 12:35:03,1696509303,-55,-94,52, ac,[Hidden SSID] ,08-CC-68-B4-77-AF,
12382,5/10/2023 12:35:03,1696509303,-48,-95,11, g/n,eduroam ,08-CC-68-B5-9A-41,
12842,5/10/2023 12:35:03,1696509303,-87,-95,132, ac,eduroam ,08-CC-68-B4-84-9E,
12917,5/10/2023 12:35:03,1696509303,-88,-95,6, g/n,uniwide ,08-CC-68-B4-7D-65,
13277,5/10/2023 12:35:03,1696509303,-82,-94,112, ac,uniwide ,08-CC-68-B4-86-5A,
13685,5/10/2023 12:35:03,1696509303,-75,-94,100, ac,uniwide ,08-CC-68-B4-8C-FA,
13736,5/10/2023 12:35:03,1696509303,-88,-95,1, g/n,eduroam ,24-16-9D-23-FD-20,
13938,5/10/2023 12:35:03,1696509303,-86,-95,1, g/n,Global_Students ,24-16-9D-23-FD-24,
14011,5/10/2023 12:35:03,1696509303,-55,-94,132, ac,[Hidden SSID] ,08-CC-68-B5-9A-4F,
14352,5/10/2023 12:35:03,1696509303,-77,-95,1, g/n,eduroam ,08-CC-68-B4-8C-F1,
14773,5/10/2023 12:35:03,1696509303,-59,-94,52, ac,uniwide ,08-CC-68-B4-77-AA,
15187,5/10/2023 12:35:03,1696509303,-62,-95,11, g/n,uniwide ,08-CC-68-B4-84-95,
15343,5/10/2023 12:35:03,1696509303,-75,-94,100, ac,[Hidden SSID] ,08-CC-68-B4-8C-FF,
15672,5/10/2023 12:35:03,1696509303,-55,-94,132, ac,uniwide ,08-CC-68-B5-9A-4A,
15898,5/10/2023 12:35:03,1696509303,-68,-94,6, g/n,eduroam ,B8-11-4B-82-62-A0,
16020,5/10/2023 12:35:03,1696509303,-87,-94,132, ac,[Hidden SSID] ,08-CC-68-B4-84-9B,
16398,5/10/2023 12:35:03,1696509303,-80,-94,112, ac,[Hidden SSID] ,08-CC-68-B4-86-5F,
16865,5/10/2023 12:35:03,1696509303,-67,-94,6, g/n,uniwide ,B8-11-4B-82-62-A1,
16888,5/10/2023 12:35:03,1696509303,-92,-94,112, ac,[Hidden SSID] ,08-CC-68-B5-88-AB,
17086,5/10/2023 12:35:03,1696509303,-82,-95,157, ac,uniwide ,08-CC-68-B4-84-1A,
17631,5/10/2023 12:35:03,1696509303,-73,-92,1, g/n,uniwide ,08-CC-68-B5-88-A5,
17922,5/10/2023 12:35:03,1696509303,-80,-94,132, ac,Global_Students ,B8-11-4B-82-62-AB,
18143,5/10/2023 12:35:03,1696509303,-81,-94,132, ac,eduroam ,B8-11-4B-82-62-AF,
18401,5/10/2023 12:35:03,1696509303,-85,-95,6, g/n,UNSW Guest ,4C-E1-76-F3-53-63,
18675,5/10/2023 12:35:03,1696509303,-77,-92,1, g/n,[Hidden SSID] ,08-CC-68-B4-8C-F0,
108,5/10/2023 12:35:14,1696509314,-90,-95,11, b/g/n,keg ,14-58-D0-37-26-F0,
426,5/10/2023 12:35:14,1696509314,-77,-95,6, g/n,Global_Students ,74-88-BB-2B-01-24,
504,5/10/2023 12:35:14,1696509314,-80,-94,132, ac,uniwide ,B8-11-4B-82-62-AE,
625,5/10/2023 12:35:14,1696509314,-76,-94,6, g/n,eduroam ,74-88-BB-2B-01-20,
1098,5/10/2023 12:35:14,1696509314,-48,-95,11, g/n,[Hidden SSID] ,08-CC-68-B5-9A-44,
1188,5/10/2023 12:35:14,1696509314,-70,-95,6, g/n,[Hidden SSID] ,B8-11-4B-82-62-A2,
1587,5/10/2023 12:35:14,1696509314,-85,-95,6, g/n,Global_Students ,4C-E1-76-F3-53-64,
1673,5/10/2023 12:35:14,1696509314,-87,-95,6, g/n,[Hidden SSID] ,08-CC-68-B4-7D-60,
2137,5/10/2023 12:35:14,1696509314,-88,-95,1, g/n,[Hidden SSID] ,24-16-9D-23-FD-25,
2277,5/10/2023 12:35:14,1696509314,-86,-95,157, ac,[Hidden SSID] ,08-CC-68-B4-84-1B,
2743,5/10/2023 12:35:14,1696509314,-76,-94,100, ac,eduroam ,08-CC-68-B4-8C-FE,
2982,5/10/2023 12:35:14,1696509314,-80,-94,112, ac,eduroam ,08-CC-68-B4-86-5E,
3300,5/10/2023 12:35:14,1696509314,-84,-93,6, g/n,eduroam ,08-CC-68-B4-7D-61,
3621,5/10/2023 12:35:14,1696509314,-90,-94,132, ac,uniwide ,08-CC-68-B4-84-9A,
3881,5/10/2023 12:35:14,1696509314,-70,-95,6, g/n,UNSW Guest ,B8-11-4B-82-62-A3,
4064,5/10/2023 12:35:14,1696509314,-48,-95,11, g/n,uniwide ,08-CC-68-B5-9A-45,
4230,5/10/2023 12:35:14,1696509314,-77,-95,6, g/n,uniwide ,74-88-BB-2B-01-21,
4460,5/10/2023 12:35:14,1696509314,-57,-94,52, ac,[Hidden SSID] ,08-CC-68-B4-77-AB,
4707,5/10/2023 12:35:14,1696509314,-82,-95,132, ac,[Hidden SSID] ,B8-11-4B-82-62-AD,
4828,5/10/2023 12:35:14,1696509314,-80,-94,112, ac,[Hidden SSID] ,08-CC-68-B4-86-5B,
5050,5/10/2023 12:35:14,1696509314,-91,-93,11, g/n,[Hidden SSID] ,08-CC-68-B4-BE-30,
5100,5/10/2023 12:35:14,1696509314,-89,-93,6, g/n,[Hidden SSID] ,08-CC-68-B4-7E-E4,
5265,5/10/2023 12:35:14,1696509314,-90,-94,132, ac,[Hidden SSID] ,08-CC-68-B4-84-9F,
5363,5/10/2023 12:35:14,1696509314,-89,-92,5, ax,MEREAVIE_POWER ,7C-10-C9-02-F2-D0,
5467,5/10/2023 12:35:14,1696509314,-55,-94,132, ac,eduroam ,08-CC-68-B5-9A-4E,
5670,5/10/2023 12:35:14,1696509314,-80,-94,132, ac,UNSW Guest ,B8-11-4B-82-62-AC,
5830,5/10/2023 12:35:14,1696509314,-74,-94,100, ac,[Hidden SSID] ,08-CC-68-B4-8C-FB,
6112,5/10/2023 12:35:14,1696509314,-61,-95,11, g/n,eduroam ,08-CC-68-B4-84-91,
6326,5/10/2023 12:35:14,1696509314,-56,-94,52, ac,eduroam ,08-CC-68-B4-77-AE,
6531,5/10/2023 12:35:14,1696509314,-73,-95,1, g/n,[Hidden SSID] ,08-CC-68-B5-88-A0,
6612,5/10/2023 12:35:14,1696509314,-82,-93,11, g/n,[Hidden SSID] ,24-16-9D-23-F0-C2,
6686,5/10/2023 12:35:14,1696509314,-80,-95,1, g/n,uniwide ,08-CC-68-B4-86-55,
7044,5/10/2023 12:35:14,1696509314,-77,-95,1, g/n,uniwide ,08-CC-68-B4-8C-F5,
7454,5/10/2023 12:35:14,1696509314,-77,-95,1, g/n,[Hidden SSID] ,08-CC-68-B4-8C-F4,
7973,5/10/2023 12:35:14,1696509314,-62,-95,11, g/n,[Hidden SSID] ,08-CC-68-B4-84-90,
8339,5/10/2023 12:35:14,1696509314,-73,-95,1, g/n,eduroam ,08-CC-68-B5-88-A1,
8431,5/10/2023 12:35:14,1696509314,-77,-93,1, g/n,[Hidden SSID] ,08-CC-68-B4-86-54,
8761,5/10/2023 12:35:14,1696509314,-88,-95,1, g/n,[Hidden SSID] ,24-16-9D-23-FD-22,
8864,5/10/2023 12:35:14,1696509314,-82,-93,11, g/n,UNSW Guest ,24-16-9D-23-F0-C3,
9166,5/10/2023 12:35:14,1696509314,-94,-94,112, ac,[Hidden SSID] ,08-CC-68-B5-88-AF,
9476,5/10/2023 12:35:14,1696509314,-70,-95,6, g/n,[Hidden SSID] ,B8-11-4B-82-62-A5,
9687,5/10/2023 12:35:14,1696509314,-88,-95,1, g/n,uniwide ,24-16-9D-23-FD-21,
10416,5/10/2023 12:35:14,1696509314,-93,-94,112, ac,eduroam ,08-CC-68-B5-88-AE,
10578,5/10/2023 12:35:14,1696509314,-48,-95,11, g/n,[Hidden SSID] ,08-CC-68-B5-9A-40,
11358,5/10/2023 12:35:14,1696509314,-82,-93,11, g/n,Global_Students ,24-16-9D-23-F0-C4,
11475,5/10/2023 12:35:14,1696509314,-82,-93,11, g/n,eduroam ,24-16-9D-23-F0-C0,
11574,5/10/2023 12:35:14,1696509314,-81,-94,132, ac,[Hidden SSID] ,B8-11-4B-82-62-AA,
11696,5/10/2023 12:35:14,1696509314,-82,-93,11, g/n,uniwide ,24-16-9D-23-F0-C1,
11777,5/10/2023 12:35:14,1696509314,-77,-95,6, g/n,[Hidden SSID] ,74-88-BB-2B-01-25,
11916,5/10/2023 12:35:14,1696509314,-55,-94,52, ac,[Hidden SSID] ,08-CC-68-B4-77-AF,
12381,5/10/2023 12:35:14,1696509314,-48,-95,11, g/n,eduroam ,08-CC-68-B5-9A-41,
12841,5/10/2023 12:35:14,1696509314,-87,-95,132, ac,eduroam ,08-CC-68-B4-84-9E,
12916,5/10/2023 12:35:14,1696509314,-88,-95,6, g/n,uniwide ,08-CC-68-B4-7D-65,
13276,5/10/2023 12:35:14,1696509314,-80,-94,112, ac,uniwide ,08-CC-68-B4-86-5A,
13684,5/10/2023 12:35:14,1696509314,-75,-94,100, ac,uniwide ,08-CC-68-B4-8C-FA,
13735,5/10/2023 12:35:14,1696509314,-88,-95,1, g/n,eduroam ,24-16-9D-23-FD-20,
13937,5/10/2023 12:35:14,1696509314,-87,-95,1, g/n,Global_Students ,24-16-9D-23-FD-24,
14010,5/10/2023 12:35:14,1696509314,-55,-94,132, ac,[Hidden SSID] ,08-CC-68-B5-9A-4F,
14351,5/10/2023 12:35:14,1696509314,-77,-95,1, g/n,eduroam ,08-CC-68-B4-8C-F1,
14591,5/10/2023 12:35:14,1696509314,-79,-95,1, g/n,eduroam ,08-CC-68-B4-86-51,
14659,5/10/2023 12:35:14,1696509314,-73,-95,1, g/n,[Hidden SSID] ,08-CC-68-B5-88-A4,
14772,5/10/2023 12:35:14,1696509314,-57,-94,52, ac,uniwide ,08-CC-68-B4-77-AA,
15186,5/10/2023 12:35:14,1696509314,-61,-95,11, g/n,uniwide ,08-CC-68-B4-84-95,
15342,5/10/2023 12:35:14,1696509314,-75,-94,100, ac,[Hidden SSID] ,08-CC-68-B4-8C-FF,
15671,5/10/2023 12:35:14,1696509314,-55,-94,132, ac,uniwide ,08-CC-68-B5-9A-4A,
15897,5/10/2023 12:35:14,1696509314,-68,-94,6, g/n,eduroam ,B8-11-4B-82-62-A0,
16176,5/10/2023 12:35:14,1696509314,-70,-95,6, g/n,Global_Students ,B8-11-4B-82-62-A4,
16397,5/10/2023 12:35:14,1696509314,-80,-94,112, ac,[Hidden SSID] ,08-CC-68-B4-86-5F,
16686,5/10/2023 12:35:14,1696509314,-90,-95,6, g/n,eduroam ,08-CC-68-B4-7E-E1,
16864,5/10/2023 12:35:14,1696509314,-70,-95,6, g/n,uniwide ,B8-11-4B-82-62-A1,
16887,5/10/2023 12:35:14,1696509314,-92,-94,112, ac,[Hidden SSID] ,08-CC-68-B5-88-AB,
17085,5/10/2023 12:35:14,1696509314,-82,-95,157, ac,uniwide ,08-CC-68-B4-84-1A,
17434,5/10/2023 12:35:14,1696509314,-77,-95,6, g/n,UNSW Guest ,74-88-BB-2B-01-23,
17630,5/10/2023 12:35:14,1696509314,-73,-95,1, g/n,uniwide ,08-CC-68-B5-88-A5,
17921,5/10/2023 12:35:14,1696509314,-80,-94,132, ac,Global_Students ,B8-11-4B-82-62-AB,
18142,5/10/2023 12:35:14,1696509314,-80,-94,132, ac,eduroam ,B8-11-4B-82-62-AF,
18400,5/10/2023 12:35:14,1696509314,-85,-95,6, g/n,UNSW Guest ,4C-E1-76-F3-53-63,
18674,5/10/2023 12:35:14,1696509314,-77,-92,1, g/n,[Hidden SSID] ,08-CC-68-B4-8C-F0,
107,5/10/2023 12:35:29,1696509329,-90,-95,11, b/g/n,keg ,14-58-D0-37-26-F0,
425,5/10/2023 12:35:29,1696509329,-78,-94,6, g/n,Global_Students ,74-88-BB-2B-01-24,
503,5/10/2023 12:35:29,1696509329,-80,-94,132, ac,uniwide ,B8-11-4B-82-62-AE,
624,5/10/2023 12:35:29,1696509329,-78,-94,6, g/n,eduroam ,74-88-BB-2B-01-20,
1097,5/10/2023 12:35:29,1696509329,-48,-95,11, g/n,[Hidden SSID] ,08-CC-68-B5-9A-44,
1187,5/10/2023 12:35:29,1696509329,-70,-94,6, g/n,[Hidden SSID] ,B8-11-4B-82-62-A2,
1586,5/10/2023 12:35:29,1696509329,-85,-95,6, g/n,Global_Students ,4C-E1-76-F3-53-64,
